symbol,name,asset_type,exchange,sector,currency
O,Realty Income Corporation,Stock,NYSE,Real Estate,USD
WELL,Welltower Inc.,Stock,NYSE,Real Estate,USD
DLR,Digital Realty Trust Inc.,Stock,NYSE,Real Estate,USD
AVB,AvalonBay Communities Inc.,Stock,NYSE,Real Estate,USD
EQR,Equity Residential,Stock,NYSE,Real Estate,USD
NEE,NextEra Energy Inc.,Stock,NYSE,Utilities,USD
SO,Southern Company,Stock,NYSE,Utilities,USD
DUK,Duke Energy Corporation,Stock,NYSE,Utilities,USD
D,Dominion Energy Inc.,Stock,NYSE,Utilities,USD
SRE,Sempra,Stock,NYSE,Utilities,USD
AEP,American Electric Power Company Inc.,Stock,NASDAQ,Utilities,USD
EXC,Exelon Corporation,Stock,NASDAQ,Utilities,USD
XEL,Xcel Energy Inc.,Stock,NASDAQ,Utilities,USD
ED,Consolidated Edison Inc.,Stock,NYSE,Utilities,USD
AWK,American Water Works Company Inc.,Stock,NYSE,Utilities,USD
SHOP,Shopify Inc.,Stock,NYSE,E-Commerce,USD
MELI,MercadoLibre Inc.,Stock,NASDAQ,E-Commerce,USD
SE,Sea Limited ADR,Stock,NYSE,E-Commerce,USD
JD,JD.com Inc. ADR,Stock,NASDAQ,E-Commerce,USD
BABA,Alibaba Group Holding Limited ADR,Stock,NYSE,E-Commerce,USD
PDD,PDD Holdings Inc. ADR,Stock,NASDAQ,E-Commerce,USD
TSM,Taiwan Semiconductor Manufacturing ADR,Stock,NYSE,International,USD
ASML,ASML Holding N.V. ADR,Stock,NASDAQ,International,USD
SAP,SAP SE ADR,Stock,NYSE,International,USD
TM,Toyota Motor Corporation ADR,Stock,NYSE,International,USD
SONY,Sony Group Corporation ADR,Stock,NYSE,International,USD
ARM,Arm Holdings plc,Stock,NASDAQ,International,USD
RIO,Rio Tinto plc ADR,Stock,NYSE,International,USD
BP,BP p.l.c. ADR,Stock,NYSE,International,USD
SHEL,Shell plc ADR,Stock,NYSE,International,USD
